Hour,Zone1,Zone2
659,78031,78031
660,79093,79093
661,78756,78756
662,78273,78273
663,77087,77087
664,76595,76595
665,76261,76261
666,79124,79124
667,79287,79287
668,76939,76939
669,72458,72458
670,69234,69234
671,66185,66185
672,61673,61673
673,58171,58171
674,56241,56241
675,55531,55531
676,55862,55862
677,56919,56919
678,59920,59920
679,67806,67806
680,74965,74965
681,76917,76917
682,77535,77535
683,78827,78827
684,79314,79314
685,78221,78221
686,77416,77416
687,76331,76331
688,75194,75194
689,74142,74142
690,77267,77267
691,78002,78002
692,75971,75971
693,71436,71436
694,68012,68012
695,65180,65180
696,60670,60670
697,57323,57323
698,55185,55185
699,54535,54535
700,54843,54843
701,56131,56131
702,59135,59135
703,66713,66713
704,73700,73700
705,76084,76084
706,76308,76308
707,77039,77039
708,77857,77857
709,77004,77004
710,75398,75398
711,73866,73866
712,72770,72770
713,72166,72166
714,75379,75379
715,76195,76195
716,74042,74042
717,69764,69764
718,66309,66309
719,64298,64298
720,60618,60618
721,56800,56800
722,54282,54282
723,52960,52960
724,52321,52321
725,52264,52264
726,51776,51776
727,52028,52028
728,55376,55376
729,59287,59287
730,62764,62764
731,64683,64683
732,65616,65616
733,64577,64577
734,62384,62384
735,61000,61000
736,60341,60341
737,60530,60530
738,64671,64671
739,66627,66627
740,64313,64313
741,60452,60452
742,58152,58152
743,57481,57481
744,54405,54405
745,51769,51769
746,49532,49532
747,48231,48231
748,47742,47742
749,47497,47497
750,46923,46923
751,46006,46006
752,47879,47879
753,51099,51099
754,54955,54955
755,57635,57635
756,60196,60196
757,59873,59873
758,57909,57909
759,56528,56528
760,55982,55982
761,56394,56394
762,61032,61032
763,64075,64075
764,62878,62878
765,60230,60230
766,58944,58944
767,59139,59139
768,56437,56437
769,53940,53940
770,52173,52173
771,51473,51473
772,51756,51756
773,53541,53541
774,57495,57495
775,66040,66040
776,73487,73487
777,75767,75767
778,76540,76540
779,77631,77631
780,78906,78906
781,78263,78263
782,77586,77586
783,76615,76615
784,75614,75614
785,74768,74768
786,77603,77603
787,79017,79017
788,77248,77248
789,72989,72989
790,69706,69706
791,67050,67050
792,62551,62551
793,59567,59567
794,57506,57506
795,56703,56703
796,56923,56923
797,58025,58025
798,60867,60867
799,68291,68291
800,74830,74830
801,77063,77063
802,77374,77374
803,78197,78197
804,78881,78881
805,78283,78283
806,77397,77397
807,76254,76254
808,75323,75323
809,74286,74286
810,77473,77473
811,79407,79407
812,77665,77665
813,73648,73648
814,70090,70090
815,67439,67439
816,63395,63395
817,60451,60451
818,58436,58436
819,57492,57492
820,57536,57536
821,58535,58535
822,61645,61645
823,69205,69205
824,75878,75878
825,77676,77676
826,77963,77963
827,78716,78716
828,79422,79422
829,78548,78548
830,77796,77796
831,76768,76768
832,75824,75824
833,74902,74902
834,77895,77895
835,79962,79962
836,78198,78198
837,73892,73892
838,70467,70467
839,67953,67953
840,63807,63807
841,60534,60534
842,58509,58509
843,57427,57427
844,57421,57421
845,58316,58316
846,61367,61367
847,68889,68889
848,75736,75736
849,77773,77773
850,77980,77980
851,78373,78373
852,78548,78548
853,77913,77913
854,77476,77476
855,76344,76344
856,75819,75819
857,74960,74960
858,77726,77726
859,79668,79668
860,77999,77999
861,73792,73792
862,70369,70369
863,67839,67839
864,63885,63885
865,60711,60711
866,58620,58620
867,57589,57589
868,57609,57609
869,58519,58519
870,61298,61298
871,68689,68689
872,75463,75463
873,77575,77575
874,77961,77961
875,78242,78242
876,78471,78471
877,77171,77171
878,75345,75345
879,73821,73821
880,72775,72775
881,72187,72187
882,75174,75174
883,77537,77537
884,75321,75321
885,71205,71205
886,67750,67750
887,66002,66002
888,62677,62677
889,59678,59678
890,57609,57609
891,56057,56057
892,55250,55250
893,54927,54927
894,54365,54365
895,54565,54565
896,57516,57516
897,61128,61128
898,64350,64350
899,66039,66039
900,66752,66752
901,65887,65887
902,63943,63943
903,62415,62415
904,61996,61996
905,62198,62198
906,65506,65506
907,68607,68607
908,66495,66495
909,62685,62685
910,60131,60131
911,59586,59586
912,56459,56459
913,53659,53659
914,51479,51479
915,50208,50208
916,49566,49566
917,49247,49247
918,48559,48559
919,47589,47589
920,49047,49047
921,52535,52535
922,56486,56486
923,58925,58925
924,61248,61248
925,60582,60582
926,57980,57980
927,56358,56358
928,55506,55506
929,55871,55871
930,60071,60071
931,65162,65162
932,64032,64032
933,61446,61446
934,59931,59931
935,60281,60281
936,57312,57312
937,54803,54803
938,53288,53288
939,52515,52515
940,52840,52840
941,54153,54153
942,58034,58034
943,66886,66886
944,73947,73947
945,76497,76497
946,77416,77416
947,78422,78422
948,79434,79434
949,78919,78919
950,78576,78576
951,77474,77474
952,76435,76435
953,75382,75382
954,77422,77422
955,79186,79186
956,77427,77427
957,72942,72942
958,69410,69410
959,66536,66536
960,61837,61837
961,58309,58309
962,56186,56186
963,55119,55119
964,55401,55401
965,56762,56762
966,60133,60133
967,68477,68477
968,75053,75053
969,76993,76993
970,77186,77186
971,78241,78241
972,78927,78927
973,78430,78430
974,78117,78117
975,77085,77085
976,75998,75998
977,74834,74834
978,76734,76734
979,78911,78911
980,76971,76971
981,72725,72725
982,69118,69118
983,66295,66295
984,61570,61570
985,58045,58045
986,55914,55914
987,55057,55057
988,55422,55422
989,56655,56655
990,59847,59847
991,67937,67937
992,74582,74582
993,76881,76881
994,77489,77489
995,78472,78472
996,78943,78943
997,78077,78077
998,77174,77174
999,75898,75898
1000,74843,74843
1001,73681,73681
1002,75862,75862
1003,79130,79130
1004,77516,77516
1005,72986,72986
1006,69367,69367
1007,66888,66888
1008,62429,62429
1009,59287,59287
1010,57261,57261
1011,56348,56348
1012,56547,56547
1013,57589,57589
1014,60639,60639
1015,68189,68189
1016,74525,74525
1017,76707,76707
1018,77191,77191
1019,77848,77848
1020,78385,78385
1021,77452,77452
1022,76431,76431
1023,75309,75309
1024,74200,74200
1025,72930,72930
1026,74910,74910
1027,78001,78001
1028,76386,76386
1029,72280,72280
1030,68776,68776
1031,66409,66409
1032,62498,62498
1033,59239,59239
1034,57198,57198
1035,56228,56228
1036,56390,56390
1037,57576,57576
1038,60338,60338
1039,67182,67182
1040,73194,73194
1041,75460,75460
1042,76141,76141
1043,76727,76727
1044,76800,76800
1045,75550,75550
1046,74087,74087
1047,72092,72092
1048,70737,70737
1049,70018,70018
1050,72627,72627
1051,76264,76264
1052,74563,74563
1053,70010,70010
1054,66599,66599
1055,64519,64519
1056,60905,60905
