"","BNL_pv_national_current","BNL_wind_onshore_current","BNL_wind_offshore_current","DE_pv_national_current","DE_wind_onshore_current","DE_wind_offshore_current","DK_pv_national_current","DK_wind_onshore_current","DK_wind_offshore_current","FR_pv_national_current","FR_wind_onshore_current","FR_wind_offshore_current","GB_pv_national_current","GB_wind_onshore_current","GB_wind_offshore_current","IBE_pv_national_current","IBE_wind_onshore_current","BNL_load_entsoe_power_statistics","DE_load_entsoe_power_statistics","DK_load_entsoe_power_statistics","FR_load_entsoe_power_statistics","GB_load_entsoe_power_statistics","IBE_load_entsoe_power_statistics"
"269055",0.465678,0.0398412,0.0507533,0.3217,0.1034,0.3007,0.152,0.4328,0.6144,0.3691,0.0932,0.4317,0.3697,0.4996,0.4609,0.5085225,0.237303,24758,62630,4013,48538,30967,35572
"269056",0.3268812,0.040078,0.049103,0.2019,0.0948,0.2955,0.0987,0.4083,0.6013,0.2542,0.0915,0.3683,0.2517,0.4837,0.4427,0.3846775,0.242049,24970,62231,4229,48442,32715,35389
"269057",0.1711034,0.0446118,0.0584086,0.0847,0.0828,0.3068,0.0417,0.3977,0.5734,0.1349,0.0906,0.2997,0.1344,0.4547,0.4345,0.2369625,0.2366075,24271,61705,4155,49181,33895,35070
"269058",0.0375058,0.0659938,0.0864321,0.0082,0.1126,0.3178,0.0019,0.3955,0.5439,0.0337,0.0935,0.2396,0.0474,0.4414,0.4497,0.091236,0.22067,23699,61804,3945,48862,34150,34834
"269059",0,0.1161838,0.1345027,0,0.1559,0.3477,0,0.3854,0.5304,1e-04,0.1124,0.2279,0.0023,0.4532,0.488,0.004154,0.2160215,24231,61807,3823,48959,34812,35956
"269060",0,0.1789062,0.1817367,0,0.1735,0.3597,0,0.3612,0.5222,0,0.1479,0.2256,0,0.4446,0.5196,0,0.2024725,23444,57909,3559,46196,34469,37121
"269061",0,0.2303618,0.2113975,0,0.1737,0.3543,0,0.349,0.5288,0,0.1867,0.2564,0,0.4356,0.5128,0,0.176923,22534,53723,3300,48582,31617,34538
"269062",0,0.2621246,0.2273162,0,0.1664,0.3361,0,0.3335,0.4933,0,0.2262,0.3375,0,0.4402,0.5141,0,0.159442,21486,49404,3013,46926,28383,32156
"269063",0,0.2781614,0.2406517,0,0.1529,0.3069,0,0.3303,0.4464,0,0.2675,0.4405,0,0.4341,0.5304,0,0.152428,19962,46091,2776,41296,24885,30688
"269064",0,0.2795428,0.2488914,0,0.1399,0.2873,0,0.3208,0.4171,0,0.3087,0.4786,0,0.4226,0.5067,0,0.150443,18932,44124,2656,39699,22394,28912
"269065",0,0.2663656,0.2444398,0,0.1273,0.2602,0,0.2971,0.3778,0,0.3342,0.5091,0,0.4153,0.527,0,0.153068,18221,42974,2573,37188,21319,27552
"269066",0,0.2499288,0.2390268,0,0.1149,0.2291,0,0.249,0.329,0,0.3365,0.5465,0,0.41,0.5369,0,0.1526215,17907,42608,2540,35201,20669,26771
"269067",0,0.2384464,0.2378939,0,0.1038,0.2097,0,0.2498,0.3176,0,0.3272,0.5789,0,0.4133,0.5485,0,0.147999,17715,42749,2548,34582,19969,26318
"269068",0,0.2257814,0.248607,0,0.0967,0.1983,0,0.2393,0.3348,0,0.3157,0.5565,0,0.4159,0.5766,0,0.1327095,17884,43685,2616,35551,19749,26061
"269069",0,0.2142198,0.2690485,0,0.0946,0.1999,0,0.236,0.3435,0,0.3158,0.4946,0,0.4439,0.6107,0,0.1130515,18470,45826,2770,37244,20288,26428
"269070",0.0032858,0.2087822,0.2782498,0.0271,0.0827,0.2194,0.0189,0.2365,0.3534,0.0037,0.2966,0.461,0,0.4776,0.6253,0,0.097672,19304,48641,3024,38523,22310,27155
"269071",0.0355376,0.1888588,0.2818247,0.1214,0.0445,0.2518,0.1022,0.2444,0.3557,0.058,0.2463,0.4946,0.0128,0.513,0.5988,0.019822,0.080338,20821,52529,3388,41712,24992,28076
"269072",0.0999846,0.1670674,0.2692847,0.2381,0.0372,0.2921,0.2129,0.2534,0.3648,0.1461,0.2182,0.4639,0.0656,0.5528,0.5496,0.116799,0.055565,22216,55526,3593,44275,28268,30577
"269073",0.2146314,0.1672396,0.2434238,0.3551,0.0556,0.3417,0.3209,0.3026,0.3777,0.2311,0.2548,0.4449,0.1454,0.5839,0.5048,0.245474,0.052972,22728,57263,3677,45477,29968,32487
"269074",0.3411148,0.2147588,0.2534994,0.4765,0.0866,0.3886,0.4161,0.344,0.3935,0.2919,0.2697,0.3361,0.2348,0.5896,0.516,0.3704695,0.0687465,22921,58401,3659,46854,29918,33251
"269075",0.3736822,0.249119,0.2945116,0.5558,0.1079,0.4211,0.4923,0.3793,0.4125,0.3345,0.2805,0.2651,0.3062,0.5659,0.5639,0.4657155,0.1027285,22771,57298,3629,48396,29203,33671
"269076",0.3420424,0.2536958,0.3108911,0.5767,0.118,0.446,0.5011,0.3963,0.4246,0.355,0.2742,0.2528,0.3517,0.528,0.6228,0.514772,0.146588,22465,55229,3551,45531,28389,33707
"269077",0.2537838,0.22073,0.3023048,0.5426,0.1183,0.4284,0.4467,0.3946,0.4267,0.3512,0.2689,0.2854,0.3632,0.4962,0.6414,0.5286395,0.186598,22066,53639,3478,44024,27098,32958
"269078",0.1657312,0.1612274,0.2685355,0.4559,0.104,0.3915,0.3812,0.376,0.4222,0.32,0.2553,0.3444,0.3491,0.4751,0.6415,0.500655,0.2277665,22015,52843,3432,42500,25977,31616
"269079",0.1134574,0.1205382,0.23537,0.329,0.0834,0.372,0.284,0.3556,0.4143,0.2563,0.2255,0.384,0.3211,0.4771,0.6204,0.433527,0.2578595,22188,52363,3495,41660,25929,30925
"269080",0.0675754,0.1089948,0.2470417,0.1917,0.0721,0.3777,0.1731,0.3184,0.4209,0.1747,0.2073,0.3225,0.2566,0.4971,0.5712,0.3335175,0.2633995,22701,52700,3741,42294,27325,30677
"269081",0.0260442,0.1088836,0.2548057,0.072,0.0955,0.406,0.0691,0.3028,0.4617,0.0934,0.1803,0.2302,0.16,0.4751,0.4822,0.2160815,0.257487,22769,53561,3751,43759,29670,30778
"269082",0.0040094,0.1112978,0.2442898,0.0024,0.1798,0.4516,0.005,0.3258,0.5567,0.0266,0.1624,0.1957,0.0628,0.3903,0.3954,0.084877,0.2443135,22550,54404,3581,43881,30911,31059
"269083",0,0.1107242,0.2422224,0,0.2593,0.4749,0,0.368,0.6023,2e-04,0.1618,0.2176,0.0029,0.3202,0.3524,0.0031385,0.2460085,22912,54267,3557,44213,32064,32766
"269084",0,0.1147782,0.2523226,0,0.2772,0.4238,0,0.3786,0.6212,0,0.1493,0.1873,0,0.2743,0.3304,0,0.2435865,22025,51208,3360,41923,32486,34128
"269085",0,0.1098974,0.2428586,0,0.2562,0.356,0,0.3852,0.6195,0,0.1317,0.152,0,0.2561,0.3147,0,0.235804,21252,48143,3130,45245,30323,32170
"269086",0,0.102162,0.2288932,0,0.2149,0.2809,0,0.3915,0.594,0,0.1173,0.0746,0,0.2519,0.3035,0,0.228097,20283,44761,2957,44334,27746,30226
"269087",0,0.0977202,0.2181991,0,0.1836,0.196,0,0.3869,0.5716,0,0.1089,0.0357,0,0.2529,0.2756,0,0.225288,19047,41612,2772,39435,24852,28458
"269088",0,0.09725,0.2007155,0,0.1592,0.1388,0,0.3912,0.5498,0,0.1009,0.0353,0,0.2541,0.2425,0,0.230007,18059,39531,2658,37881,22471,26745
"269089",0,0.0996574,0.1775226,0,0.1364,0.1069,0,0.3669,0.5194,0,0.0978,0.0383,0,0.2572,0.2081,0,0.23874,17532,38341,2601,35155,21337,25443
"269090",0,0.1016116,0.162162,0,0.125,0.0908,0,0.346,0.5036,0,0.1012,0.0468,0,0.2504,0.1742,0,0.243545,17237,37822,2575,33299,20483,24698
"269091",0,0.0976226,0.1550853,0,0.1143,0.0847,0,0.3563,0.5169,0,0.1125,0.098,0,0.2384,0.1406,0,0.2455925,17129,37805,2566,32376,19964,24271
"269092",0,0.0900266,0.1519827,0,0.1018,0.0748,0,0.3566,0.513,0,0.1244,0.1193,0,0.2247,0.1141,0,0.2467485,17285,38361,2624,32688,19800,24077
"269093",0,0.0833456,0.1482299,0,0.0921,0.0664,0,0.3454,0.4933,0,0.1407,0.0966,0,0.2084,0.0983,0,0.251097,17604,39344,2735,33448,20023,24206
"269094",0.007366,0.0768564,0.1408665,0.0158,0.08,0.062,0.0022,0.3191,0.4707,3e-04,0.1685,0.13,0,0.1964,0.09,0,0.262874,17936,40785,2915,33618,20995,24314
"269095",0.0825908,0.0538006,0.1112589,0.0901,0.0524,0.0574,0.0267,0.2964,0.469,0.0294,0.1683,0.1317,0.0231,0.1804,0.087,0.0173595,0.269545,19072,44409,3290,36462,22705,24355
"269096",0.170288,0.034093,0.0778435,0.1843,0.0409,0.0592,0.0808,0.2878,0.4641,0.0982,0.1426,0.0656,0.1004,0.16,0.0793,0.1033065,0.314108,20165,47807,3535,39383,25449,26111
"269097",0.2419134,0.0412206,0.0794546,0.2678,0.047,0.0692,0.1466,0.326,0.4522,0.1815,0.1605,0.0094,0.2144,0.1749,0.0876,0.228995,0.40143,20797,50175,3653,41554,27514,28032
"269098",0.3028828,0.0516418,0.0830196,0.3247,0.0548,0.0812,0.1908,0.3313,0.4324,0.2555,0.2028,0.0086,0.3111,0.1952,0.0991,0.3525895,0.470351,21416,52660,3695,43788,28288,29295
"269099",0.3517594,0.0600502,0.0681421,0.3485,0.0591,0.0926,0.2013,0.307,0.4107,0.3089,0.2615,0.0679,0.3706,0.1977,0.0995,0.4590265,0.5276005,21455,52527,3668,45444,28683,30003
"269100",0.363574,0.0798914,0.0392965,0.3337,0.06,0.1014,0.2158,0.2828,0.3899,0.3252,0.2871,0.1585,0.4018,0.1909,0.0941,0.5248415,0.575882,21133,50432,3622,41973,29168,30522
"269101",0.3362084,0.1190686,0.0304273,0.2875,0.0636,0.092,0.2352,0.2633,0.3781,0.3073,0.2904,0.3911,0.4093,0.1756,0.0912,0.5471275,0.6124075,20728,49130,3581,40238,28687,30410
"269102",0.2779614,0.165132,0.0551407,0.2269,0.0721,0.0694,0.2083,0.2462,0.3751,0.2759,0.2815,0.6582,0.3773,0.1563,0.0927,0.5291525,0.6467975,20527,48032,3542,38892,28299,29061
"269103",0.1927466,0.1991876,0.1148809,0.1616,0.081,0.0621,0.144,0.2264,0.369,0.2376,0.268,0.8316,0.3166,0.1346,0.1016,0.465321,0.667968,20819,47920,3621,38092,28737,28298
"269104",0.1064712,0.2226518,0.1883631,0.0957,0.089,0.0701,0.0756,0.2065,0.3648,0.1705,0.2497,0.8783,0.2226,0.1127,0.1246,0.3626465,0.6733795,21761,49254,3935,39221,30217,28160
"269105",0.0428142,0.2560248,0.2479413,0.0376,0.1172,0.0969,0.0247,0.2093,0.3718,0.0885,0.2259,0.8388,0.1341,0.0917,0.1487,0.230687,0.6476245,22262,50862,3938,41920,31807,28507
"269106",0.0052206,0.3192648,0.2926529,0.0014,0.1824,0.1668,7e-04,0.2348,0.3748,0.0221,0.2174,0.8294,0.0516,0.0799,0.1647,0.089004,0.5739975,22422,52204,3823,43678,32632,28811
"269107",0,0.3575326,0.3108544,0,0.2233,0.27,0,0.2693,0.391,1e-04,0.2158,0.855,0.0018,0.0933,0.1789,0.0031625,0.4942145,22988,53382,3729,44417,33576,31263
"269108",0,0.373433,0.3099319,0,0.2323,0.3903,0,0.2791,0.4009,0,0.1993,0.7949,0,0.1146,0.1784,0,0.465682,22220,51009,3480,41960,33929,33565
"269109",0,0.3750168,0.3273236,0,0.234,0.4611,0,0.2772,0.4167,0,0.1917,0.7588,0,0.1263,0.1663,0,0.4544635,21339,49254,3170,44848,31324,32105
"269110",0,0.3434406,0.3162408,0,0.24,0.5,0,0.2736,0.422,0,0.2053,0.7751,0,0.1333,0.1451,0,0.435094,20081,46038,2897,43795,28161,30146
"269111",0,0.300427,0.3199563,0,0.2432,0.5648,0,0.2684,0.4395,0,0.2293,0.7843,0,0.1351,0.125,0,0.427011,18924,43547,2719,38906,24508,28104
"269112",0,0.2537248,0.3138786,0,0.2378,0.5626,0,0.2756,0.4643,0,0.2587,0.7695,0,0.1331,0.1145,0,0.41846,18121,42072,2620,37585,22224,26596
"269113",0,0.2277004,0.2849315,0,0.2401,0.4833,0,0.2798,0.5025,0,0.2802,0.8116,0,0.1321,0.1102,0,0.3960045,17772,41378,2595,35457,21591,25587
"269114",0,0.2027368,0.2332287,0,0.2236,0.4368,0,0.2892,0.5326,0,0.3065,0.8264,0,0.1341,0.1198,0,0.373507,17658,41744,2604,33948,21168,25310
"269115",0,0.1865752,0.2054752,0,0.2038,0.4007,0,0.2914,0.5665,0,0.3346,0.8977,0,0.1375,0.1451,0,0.3383775,17883,43444,2667,34595,20810,25331
"269116",0,0.1851012,0.2060357,0,0.1895,0.3795,0,0.3172,0.581,0,0.3695,0.9555,0,0.1315,0.1709,0,0.303381,18665,48280,2933,38200,20727,25923
"269117",0,0.1928764,0.211242,0,0.1717,0.3452,0,0.3501,0.5817,0,0.3991,0.9682,0,0.1318,0.197,0,0.2749185,21343,58230,3612,45083,22264,28171
"269118",0.0020502,0.2128292,0.227133,0.0149,0.1421,0.3155,0.012,0.3573,0.5863,0.0012,0.418,0.9461,0,0.1423,0.2263,0,0.2468845,23951,64263,4209,48119,27509,31129
"269119",0.056815,0.1933036,0.2490873,0.0727,0.1146,0.3058,0.0736,0.3587,0.5695,0.0628,0.4082,0.9424,0.0201,0.1441,0.2476,0.0200455,0.217049,25606,67617,4484,50498,33530,33113
"269120",0.155667,0.1866114,0.2663185,0.1289,0.1135,0.3093,0.1522,0.3824,0.5493,0.1922,0.4418,0.9402,0.0895,0.1395,0.255,0.134141,0.2282685,26389,68442,4557,51822,35882,35068
"269121",0.2742812,0.2542164,0.30445,0.1748,0.1127,0.3218,0.2551,0.4276,0.5647,0.3308,0.5679,0.9633,0.1889,0.1588,0.2671,0.3084075,0.2527165,26664,69733,4630,52678,36562,36365
"269122",0.358701,0.30489,0.3074746,0.2186,0.1231,0.2971,0.3462,0.4573,0.5529,0.4363,0.6764,0.9768,0.2825,0.2044,0.2828,0.4575205,0.2588725,26976,70934,4622,53503,36565,36992
