Hour,PV,WindOnshore,WindOffshore
374,0.0428,0.1522,0.258
375,0.0324,0.1622,0.3236
376,0.0158,0.1604,0.4142
377,0.0024,0.1552,0.4301
378,0,0.159,0.4306
379,0,0.1558,0.5016
380,0,0.1519,0.6042
381,0,0.154,0.614
382,0,0.1528,0.6692
383,0,0.1549,0.7217
384,0,0.154,0.776
385,0,0.1534,0.7705
386,0,0.1537,0.7345
387,0,0.1486,0.7157
388,0,0.1509,0.6295
389,0,0.1461,0.5987
390,0,0.1403,0.5706
391,0,0.1377,0.5597
392,0,0.1282,0.4927
393,0.0025,0.1112,0.3556
394,0.0125,0.0989,0.2159
395,0.025,0.0888,0.1261
396,0.0388,0.0782,0.0414
397,0.0495,0.0678,0.0288
398,0.0455,0.0605,0.0728
399,0.0322,0.0549,0.084
400,0.0152,0.0485,0.0958
401,0.0024,0.0445,0.1491
402,0,0.0403,0.1289
403,0,0.0383,0.1197
404,0,0.0356,0.1219
405,0,0.036,0.0796
406,0,0.0434,0.065
407,0,0.0519,0.0676
408,0,0.0568,0.0699
409,0,0.0576,0.0949
410,0,0.058,0.1233
411,0,0.0551,0.0999
412,0,0.0571,0.1183
413,0,0.0531,0.1032
414,0,0.0468,0.0976
415,0,0.0452,0.102
416,0,0.0494,0.143
417,0.0033,0.056,0.1635
418,0.0222,0.0582,0.2185
419,0.0504,0.0514,0.3066
420,0.0794,0.0376,0.3598
421,0.1008,0.032,0.4874
422,0.1059,0.0346,0.5728
423,0.086,0.0327,0.651
424,0.0437,0.0353,0.6252
425,0.0055,0.0456,0.5431
426,0,0.0612,0.503
427,0,0.0754,0.4666
428,0,0.0865,0.5037
429,0,0.0906,0.5299
430,0,0.0914,0.5853
431,0,0.0963,0.5883
432,0,0.1024,0.5915
433,0,0.1097,0.6297
434,0,0.108,0.6796
435,0,0.1058,0.6957
436,0,0.1056,0.733
437,0,0.1098,0.74
438,0,0.1172,0.785
439,0,0.1311,0.7679
440,0,0.1457,0.7065
441,0.0052,0.1603,0.5982
442,0.0332,0.157,0.4118
443,0.0692,0.1508,0.3268
444,0.0991,0.1346,0.2591
445,0.113,0.1197,0.2586
446,0.1006,0.1145,0.3088
447,0.0732,0.1128,0.4306
448,0.0342,0.1107,0.4059
449,0.0045,0.1173,0.4706
450,0,0.1327,0.4344
451,0,0.1512,0.4103
452,0,0.1582,0.4437
453,0,0.1544,0.4306
454,0,0.1573,0.3515
455,0,0.1568,0.3023
456,0,0.1462,0.353
457,0,0.1425,0.2928
458,0,0.1406,0.3115
459,0,0.1342,0.2856
460,0,0.1387,0.259
461,0,0.1384,0.2895
462,0,0.1323,0.2406
463,0,0.1309,0.2795
464,0,0.1253,0.3074
465,0.0035,0.125,0.2693
466,0.017,0.1202,0.2684
467,0.0368,0.1076,0.198
468,0.0562,0.1036,0.1657
469,0.0689,0.0988,0.129
470,0.0768,0.0976,0.1067
471,0.0634,0.093,0.1136
472,0.0351,0.0906,0.1045
473,0.0069,0.0913,0.1025
474,0,0.0926,0.0952
475,0,0.0909,0.0854
476,0,0.0906,0.0859
477,0,0.0825,0.0823
478,0,0.0723,0.0746
479,0,0.0641,0.0407
480,0,0.0576,0.0429
481,0,0.0532,0.0478
482,0,0.0455,0.0498
483,0,0.04,0.0468
484,0,0.0363,0.0416
485,0,0.0315,0.0418
486,0,0.0303,0.0496
487,0,0.0293,0.0729
488,0,0.0305,0.0942
489,0.003,0.0288,0.1337
490,0.0184,0.0271,0.1641
491,0.0436,0.0235,0.1946
492,0.0748,0.02,0.2676
493,0.1012,0.0182,0.256
494,0.1086,0.0195,0.2668
